text,is_skill
"Desarrollo de aplicaciones móviles en Android y iOS",1
"Trabajo en equipo y comunicación efectiva",0
"Experiencia en bases de datos relacionales como MySQL y PostgreSQL",1
"Capacidad de liderazgo y resolución de conflictos",0
"Mantenimiento de servidores y redes LAN/WAN",1
"Certificado en Python y Machine Learning",1
"Implementación de soluciones en la nube con AWS",1
"Proyectos de mejora continua en empresas",0
"Desarrollo con frameworks como Django y Flask",1
"Análisis de datos con SQL y Excel avanzado",1
"Gestión de proyectos de desarrollo de software",1
"Atención al cliente y manejo de quejas",0
"Redacción de manuales técnicos y documentación de procesos",0
"Automatización de procesos con Jenkins y Ansible",1
"Certificación en Cisco CCNA",1
"JavaScript",1
"Azure on Cloud",1
"Node.js",1
"React",1
"Angular",1
"Git",1
"Docker",1
"Networking",1
"DevOps",1
"Python",1
"MongoDB",1
"C++",1
"Desarrollo de API REST",1
"Kubernetes",1
"Machine Learning",1
"Gestión de redes y sistemas informáticos",1
"Optimización de motores de búsqueda (SEO)",1
"Instalación de sistemas operativos y particionado de discos",1
"Coordinación de eventos empresariales",0
"Implementación de redes de fibra óptica",1
"Capacitación en metodologías Lean y Six Sigma",0
"Desarrollo de aplicaciones multiplataforma con Flutter",1
"Administración de servidores Windows y Linux",1
"Consultoría en proyectos de transformación digital",1
"Desarrollo de algoritmos de machine learning",1
"Gestión de plataformas e-learning y Moodle",1
"Instalación de sistemas de videovigilancia y CCTV",1
"Optimización de algoritmos y estructuras de datos",1
"Automatización de procesos en empresas industriales",1
"Elaboración de contratos y acuerdos comerciales",0
"Linux",1
"Jira",1
"Cloud",1
"Salesforce",1
"PostgreSQL",1
"Excel",1
"GitHub",1
"Trello",1
"FastAPI",1
"Flask",1
"Ruby on Rails",1
"Selenium",1
"MySQL",1
"WordPress",1
"TensorFlow",1
"Capacidad para resolver problemas complejos",0
"Experiencia con redes sociales",0
"Desarrollo de aplicaciones web con Vue.js",1
"Implementación de Big Data en entornos productivos",1
"Manejo de Microsoft Office",0
"Desarrollo de aplicaciones en tiempo real con Node.js",1
"Configuración de servidores Apache y Nginx",1
"Programación orientada a objetos en Java",1
"Conocimiento en gestión de servicios ITIL",1
"Redacción de informes ejecutivos",0
"Atención al cliente en tiendas minoristas",0
"Uso de metodologías ágiles como SCRUM",1
"Implementación de estrategias de marketing digital",0
"Desarrollo de sistemas de recomendación con Python",1
"Creación de sistemas embebidos con C++",1
"Capacitación de personal en uso de herramientas digitales",0
"Instalación de redes de área local",1
"Experiencia en mantenimiento de servidores Linux",1
"Optimización de motores de bases de datos",1
"Creación de chatbots con IA",1
"Capacidad para trabajar bajo presión",0
"Desarrollo de aplicaciones de escritorio con Electron",1
"Optimización de recursos en entornos virtualizados",1
"Gestión de infraestructura con Terraform",1
"Experiencia en cloud computing",1
"Administración de bases de datos con MongoDB",1
"Instalación de sistemas de seguridad en redes",1
"Elaboración de reportes financieros",0
"Configuración de entornos de desarrollo con Docker",1
"Programación en Bash y PowerShell",1
"Capacidad de análisis de datos con R",1
"Análisis y procesamiento de grandes volúmenes de datos",1
"Desarrollo de modelos predictivos con Python",1
"Planificación de proyectos empresariales",0
"Optimización de procesos de negocio con Lean",0
"Gestión de plataformas en la nube",1
"Desarrollo de videojuegos con Unity",1
"Configuración de sistemas de backup",1
"Redacción de manuales operativos",0
"Gestión de procesos de manufactura",0
"Desarrollo de interfaces de usuario con Vue.js y React",1
"Capacitación en el uso de Git y GitHub",1
"Implementación de servidores con Linux y Windows",1
"Desarrollo de aplicaciones móviles con Swift",1
"Redacción de propuestas comerciales",0
"Instalación de sistemas de control de acceso",1
"Programación en lenguajes como Python, Java y C++",1
"Optimización de rendimiento de aplicaciones web",1
"Elaboración de estrategias de ventas",0
"Automatización de procesos empresariales",1
"Configuración de redes inalámbricas",1
"Instalación de sistemas de comunicación por voz sobre IP",1
"Elaboración de estudios de mercado",0
"Análisis de sistemas informáticos",1
"Implementación de sistemas ERP en empresas",1
"Capacitación de personal en metodologías ágiles",1
"Análisis de rendimiento de aplicaciones web",1
"Gestión de bases de datos SQL y NoSQL",1
"Desarrollo de sistemas de inteligencia artificial",1
"Instalación y configuración de routers",1
"Elaboración de proyectos empresariales",0
"Implementación de arquitecturas de microservicios",1
"Desarrollo de aplicaciones web con Angular y React",1
"Análisis financiero y gestión de riesgos",0
"Optimización de redes y sistemas distribuidos",1
"Capacidad para liderar equipos de trabajo",0
"Desarrollo de algoritmos para procesamiento de datos",1
"Configuración de servidores web con Apache",1
"Programación de microservicios con Go",1
"Capacidad para trabajar en entornos multiculturales",0
"Optimización de procesos industriales",0
"Desarrollo de aplicaciones para comercio electrónico",1
"Configuración de firewalls y sistemas de seguridad",1
"Gestión de entornos cloud con AWS y GCP",1
"Desarrollo de soluciones en blockchain",1
"Creación de campañas publicitarias en redes sociales",0
"Optimización de infraestructura IT",1
"Desarrollo de sistemas de videovigilancia",1
"Análisis de tendencias de mercado",0
"Implementación de servidores en entornos virtuales",1
"Programación de scripts en Bash y Python",1
"Gestión de plataformas tecnológicas en empresas",1
"Desarrollo de chatbots para atención al cliente",1
"Optimización de motores de búsqueda (SEO y SEM)",1
"Gestión de redes empresariales",1
"Configuración de plataformas de big data",1
"Desarrollo de soluciones en inteligencia artificial",1
"Capacitación de equipos de ventas",0
"Programación en Python para machine learning",1
"Implementación de soluciones de business intelligence",1
"Desarrollo de modelos de machine learning en R",1
"Configuración de servidores con Docker y Kubernetes",1
"Optimización de sistemas de bases de datos",1
"Elaboración de estrategias de marketing",0
"Implementación de redes de alta velocidad",1
"Capacitación en el uso de herramientas de productividad",0
"Implementación de soluciones en la nube",1
"Desarrollo de aplicaciones con Django",1
"Redacción de documentos técnicos",0
"Programación en lenguajes como Go y Rust",1
"Análisis de datos con Python y R",1
"Elaboración de estudios financieros",0
